year,month,day,date,aam,dt,phase,amp
1958,1,1,1958-1-1,1.15,3.07,4.5,3.3
1958,1,2,1958-1-2,1.5,2.07,5.5,2.6
1958,1,3,1958-1-3,1.65,0.25,6.5,1.7
1958,1,4,1958-1-4,1.58,-0.97,7.5,1.9
1958,1,5,1958-1-5,1.46,-0.31,6.5,1.5
1958,1,6,1958-1-6,1.52,0.9,5.5,1.8
1958,1,7,1958-1-7,1.64,0.42,6.5,1.7
1958,1,8,1958-1-8,1.61,-0.55,6.5,1.7
1958,1,9,1958-1-9,1.53,-0.56,6.5,1.6
1958,1,10,1958-1-10,1.48,-0.1,6.5,1.5
1958,1,11,1958-1-11,1.48,-0.41,6.5,1.5
1958,1,12,1958-1-12,1.39,-0.39,6.5,1.4
1958,1,13,1958-1-13,1.41,0.59,5.5,1.5
1958,1,14,1958-1-14,1.51,0.5,6.5,1.6
1958,1,15,1958-1-15,1.53,0.11,6.5,1.5
1958,1,16,1958-1-16,1.55,0.33,6.5,1.6
1958,1,17,1958-1-17,1.6,-0.01,6.5,1.6
1958,1,18,1958-1-18,1.57,0.08,6.5,1.6
1958,1,19,1958-1-19,1.66,1.3,5.5,2.1
1958,1,20,1958-1-20,1.87,1.59,5.5,2.5
1958,1,21,1958-1-21,2.02,0.57,6.5,2.1
1958,1,22,1958-1-22,2.01,-0.57,6.5,2.1
1958,1,23,1958-1-23,1.9,-0.6,6.5,2
1958,1,24,1958-1-24,1.85,-0.97,7.5,2.1
1958,1,25,1958-1-25,1.65,-1.69,7.5,2.4
1958,1,26,1958-1-26,1.44,-1.65,7.5,2.2
1958,1,27,1958-1-27,1.22,-1.87,7.5,2.2
1958,1,28,1958-1-28,0.97,-1.61,7.5,1.9
1958,1,29,1958-1-29,0.83,-0.68,7.5,1.1
1958,1,30,1958-1-30,0.77,-0.81,7.5,1.1
1958,1,31,1958-1-31,0.6,-1.38,7.5,1.5
1958,2,1,1958-2-1,0.45,-0.72,7.5,0.8
1958,2,2,1958-2-2,0.41,-0.21,7.5,0.5
1958,2,3,1958-2-3,0.37,-0.61,7.5,0.7
1958,2,4,1958-2-4,0.27,-0.53,7.5,0.6
1958,2,5,1958-2-5,0.24,-0.31,7.5,0.4
1958,2,6,1958-2-6,0.2,0.16,5.5,0.3
1958,2,7,1958-2-7,0.27,0.48,5.5,0.6
1958,2,8,1958-2-8,0.32,0.71,5.5,0.8
1958,2,9,1958-2-9,0.45,0.82,5.5,0.9
1958,2,10,1958-2-10,0.53,0.79,5.5,0.9
1958,2,11,1958-2-11,0.67,1.46,5.5,1.6
1958,2,12,1958-2-12,0.89,1.78,5.5,2
1958,2,13,1958-2-13,1.08,0.56,5.5,1.2
1958,2,14,1958-2-14,1.03,-0.69,7.5,1.2
1958,2,15,1958-2-15,0.95,-0.52,7.5,1.1
1958,2,16,1958-2-16,0.91,-0.19,6.5,0.9
1958,2,17,1958-2-17,0.9,0.24,6.5,0.9
1958,2,18,1958-2-18,0.94,-0.12,6.5,0.9
1958,2,19,1958-2-19,0.85,-1.15,7.5,1.4
1958,2,20,1958-2-20,0.68,-1.07,7.5,1.3
1958,2,21,1958-2-21,0.61,-0.07,6.5,0.6
1958,2,22,1958-2-22,0.65,0.36,5.5,0.7
1958,2,23,1958-2-23,0.68,0.35,5.5,0.8
1958,2,24,1958-2-24,0.72,-0.04,6.5,0.7
1958,2,25,1958-2-25,0.66,-0.77,7.5,1
1958,2,26,1958-2-26,0.53,-1.35,0.5,1.5
1958,2,27,1958-2-27,0.32,-1.67,0.5,1.7
1958,2,28,1958-2-28,0.11,-1.57,0.5,1.6
1958,3,1,1958-3-1,-0.06,-0.94,0.5,0.9
1958,3,2,1958-3-2,-0.13,-0.5,0.5,0.5
1958,3,3,1958-3-3,-0.22,-0.83,0.5,0.9
1958,3,4,1958-3-4,-0.34,-0.9,0.5,1
1958,3,5,1958-3-5,-0.42,-0.11,2.5,0.4
1958,3,6,1958-3-6,-0.36,0.84,3.5,0.9
1958,3,7,1958-3-7,-0.22,1.34,4.5,1.4
1958,3,8,1958-3-8,-0.06,0.44,4.5,0.4
1958,3,9,1958-3-9,-0.12,-0.84,0.5,0.8
1958,3,10,1958-3-10,-0.22,-0.24,1.5,0.3
1958,3,11,1958-3-11,-0.15,1.17,4.5,1.2
1958,3,12,1958-3-12,0.06,1.87,4.5,1.9
1958,3,13,1958-3-13,0.29,1.43,4.5,1.5
1958,3,14,1958-3-14,0.41,0.45,5.5,0.6
1958,3,15,1958-3-15,0.43,0.14,6.5,0.4
1958,3,16,1958-3-16,0.46,0.3,5.5,0.6
1958,3,17,1958-3-17,0.5,0.26,5.5,0.6
1958,3,18,1958-3-18,0.52,-0.05,6.5,0.5
1958,3,19,1958-3-19,0.51,0.33,5.5,0.6
1958,3,20,1958-3-20,0.6,0.49,5.5,0.8
1958,3,21,1958-3-21,0.59,-0.58,7.5,0.8
1958,3,22,1958-3-22,0.46,-1.12,0.5,1.2
1958,3,23,1958-3-23,0.35,-0.33,7.5,0.5
1958,3,24,1958-3-24,0.38,0.57,5.5,0.7
1958,3,25,1958-3-25,0.46,0.31,5.5,0.6
1958,3,26,1958-3-26,0.46,0.02,6.5,0.5
1958,3,27,1958-3-27,0.51,1.09,5.5,1.2
1958,3,28,1958-3-28,0.7,0.75,5.5,1
1958,3,29,1958-3-29,0.67,-0.34,7.5,0.8
1958,3,30,1958-3-30,0.65,-0.01,6.5,0.7
1958,3,31,1958-3-31,0.67,-0.03,6.5,0.7
1958,4,1,1958-4-1,0.65,0.1,6.5,0.7
1958,4,2,1958-4-2,0.68,0.04,6.5,0.7
1958,4,3,1958-4-3,0.63,-0.85,7.5,1.1
1958,4,4,1958-4-4,0.46,-1.79,0.5,1.8
1958,4,5,1958-4-5,0.22,-1.34,0.5,1.4
1958,4,6,1958-4-6,0.15,0.02,6.5,0.2
1958,4,7,1958-4-7,0.19,0.22,5.5,0.3
1958,4,8,1958-4-8,0.19,-0.03,6.5,0.2
1958,4,9,1958-4-9,0.19,-0.08,7.5,0.2
1958,4,10,1958-4-10,0.17,0.07,6.5,0.2
1958,4,11,1958-4-11,0.21,0.51,4.5,0.6
1958,4,12,1958-4-12,0.3,0.75,4.5,0.8
1958,4,13,1958-4-13,0.39,0.59,5.5,0.7
1958,4,14,1958-4-14,0.44,-0.04,6.5,0.4
1958,4,15,1958-4-15,0.4,-0.01,6.5,0.4
1958,4,16,1958-4-16,0.45,0.45,5.5,0.6
1958,4,17,1958-4-17,0.48,-0.27,7.5,0.5
1958,4,18,1958-4-18,0.36,-1.32,0.5,1.4
1958,4,19,1958-4-19,0.15,-1.97,0.5,2
1958,4,20,1958-4-20,-0.12,-2.05,0.5,2.1
1958,4,21,1958-4-21,-0.38,-2.35,0.5,2.4
1958,4,22,1958-4-22,-0.73,-2.82,0.5,2.9
1958,4,23,1958-4-23,-1.08,-2.72,0.5,2.9
1958,4,24,1958-4-24,-1.39,-1.47,1.5,2
1958,4,25,1958-4-25,-1.45,0.01,2.5,1.5
1958,4,26,1958-4-26,-1.41,0.8,3.5,1.6
1958,4,27,1958-4-27,-1.28,0.69,3.5,1.5
1958,4,28,1958-4-28,-1.23,0.77,3.5,1.5
1958,4,29,1958-4-29,-1.06,1.46,3.5,1.8
1958,4,30,1958-4-30,-0.87,1.62,3.5,1.8
1958,5,1,1958-5-1,-0.65,1.87,4.5,2
