date,yr,mn,dy,rmm1,rmm2,ph,amp
6/1/1974,1974,6,1,1.63447,1.20304,5,2.02948
6/2/1974,1974,6,2,1.60289,1.01512,5,1.89729
6/3/1974,1974,6,3,1.51625,1.08551,5,1.86476
6/4/1974,1974,6,4,1.50981,1.03573,5,1.83092
6/5/1974,1974,6,5,1.55906,1.30518,5,2.0332601
6/6/1974,1974,6,6,1.20626,1.62889,6,2.0269001
6/7/1974,1974,6,7,0.61110097,1.7224801,6,1.82767
6/8/1974,1974,6,8,0.326395,1.77818,6,1.8078901
6/9/1974,1974,6,9,9.38E-02,1.35694,6,1.36018
6/10/1974,1974,6,10,-8.61E-02,0.77547598,7,0.78024399
6/11/1974,1974,6,11,0.111394,0.389534,6,0.405148
6/12/1974,1974,6,12,0.120489,1.39E-02,5,0.121286
6/13/1974,1974,6,13,1.93E-02,-0.21766999,3,0.218519
6/14/1974,1974,6,14,-0.10436,-0.38104999,2,0.395082
6/15/1974,1974,6,15,-0.18294001,-0.64534998,2,0.670775
6/16/1974,1974,6,16,-0.23596001,-0.47106999,2,0.52686501
6/17/1974,1974,6,17,-0.49869001,-0.48752001,1,0.697402
6/18/1974,1974,6,18,-0.56980002,-0.36398,1,0.67613399
6/19/1974,1974,6,19,-0.69502997,-0.35556999,1,0.78070498
6/20/1974,1974,6,20,-0.72915,-0.47646001,1,0.87101501
6/21/1974,1974,6,21,-1.09443,-0.83275002,1,1.37523
6/22/1974,1974,6,22,-1.09851,-0.83867002,1,1.3820601
6/23/1974,1974,6,23,-1.06244,-0.50405002,1,1.17594
6/24/1974,1974,6,24,-0.88507003,-0.32444,1,0.94265801
6/25/1974,1974,6,25,-0.76582003,-0.33355001,1,0.83530402
6/26/1974,1974,6,26,-0.83446997,-0.41418001,1,0.93160701
6/27/1974,1974,6,27,-0.80129999,-0.35989001,1,0.87841302
6/28/1974,1974,6,28,-0.56441998,-0.29798999,1,0.63824999
6/29/1974,1974,6,29,-9.70E-02,-0.40189001,2,0.41344199
6/30/1974,1974,6,30,9.15E-03,-0.24384999,3,0.244017
7/1/1974,1974,7,1,0.26054999,8.71E-02,5,0.27472401
7/2/1974,1974,7,2,0.26702401,0.23012,5,0.352501
7/3/1974,1974,7,3,0.355582,0.387155,6,0.52566898
7/4/1974,1974,7,4,0.844383,0.42613801,5,0.94582099
